ID,Tên sản phẩm,Product ID,URL,Giá,Chiết khấu,Đánh giá,Đã bán,Trạng thái
11,"Tua Vít Hai Đầu PH1/5.0 Chính Hãng DELI - Đầu Vít Từ Tính - Chất Liệu Thép CR-V Siêu Bền Chống Mòn, Gỉ",N/A,https://shopee.vn/Tua-Vít-Hai-Đầu-PH1-5.0-Chính-Hãng-DELI-Đầu-Vít-Từ-Tính-Chất-Liệu-Thép-CR-V-Siêu-Bền-Chống-Mòn-Gỉ-i.1021391020.22979299133?extraParams=%7B%22display_model_id%22%3A231993189423%2C%22model_selection_logic%22%3A3%7D,58k đ,0%,4.9,1,Hoạt động
12,Thước Cuộn Thép 10 Mét Chống Sốc Siêu Bền Chính Hãng DELI - Chất Liệu ABS Bọc Cao Su Chắc Chắn Chống Va Đập,N/A,https://shopee.vn/Thước-Cuộn-Thép-10-Mét-Chống-Sốc-Siêu-Bền-Chính-Hãng-DELI-Chất-Liệu-ABS-Bọc-Cao-Su-Chắc-Chắn-Chống-Va-Đập-i.1021391020.20790469542?extraParams=%7B%22display_model_id%22%3A370711028252%2C%22model_selection_logic%22%3A3%7D,45k đ,0%,4.9,10,Hoạt động
13,"Bơm Xe Đạp Cầm Tay Deli Cao Cấp - Siêu Nhẹ, Nhỏ Gọn, Tiện Lợi, Dễ Dàng Di Chuyển - Áp Suất 160 PSI",N/A,https://shopee.vn/Bơm-Xe-Đạp-Cầm-Tay-Deli-Cao-Cấp-Siêu-Nhẹ-Nhỏ-Gọn-Tiện-Lợi-Dễ-Dàng-Di-Chuyển-Áp-Suất-160-PSI-i.1021391020.22672781282?extraParams=%7B%22display_model_id%22%3A168146443449%2C%22model_selection_logic%22%3A3%7D,123k đ,0%,4.9,160,Hoạt động
14,Mỏ Lết Đa Năng Chính Hãng DELI - Thiết Kế Tinh Tế Chất Liệu Cao Cấp Bền Bỉ,N/A,https://shopee.vn/Mỏ-Lết-Đa-Năng-Chính-Hãng-DELI-Thiết-Kế-Tinh-Tế-Chất-Liệu-Cao-Cấp-Bền-Bỉ-i.1021391020.26050457030?extraParams=%7B%22display_model_id%22%3A271942304625%2C%22model_selection_logic%22%3A3%7D,68k đ,0%,4.9,68,Hoạt động
15,Keo Sữa Đa Năng 40ml Deli  Dán Vải Giấy Decal Làm Đồ Handmade Slime Không Mùi Chất Lượng Cao,N/A,https://shopee.vn/Keo-Sữa-Đa-Năng-40ml-Deli-Dán-Vải-Giấy-Decal-Làm-Đồ-Handmade-Slime-Không-Mùi-Chất-Lượng-Cao-i.1021391020.27600068221?extraParams=%7B%22display_model_id%22%3A415710616175%2C%22model_selection_logic%22%3A3%7D,11k đ,0%,4.9,40m,Hoạt động
16,"Bút Thử Điện 100-500V Deli Chính Hãng - Nhỏ Gọn, Tiện Lợi, An Toàn Sử Dụng",N/A,https://shopee.vn/Bút-Thử-Điện-100-500V-Deli-Chính-Hãng-Nhỏ-Gọn-Tiện-Lợi-An-Toàn-Sử-Dụng-i.1021391020.22579303013?extraParams=%7B%22display_model_id%22%3A425710236849%2C%22model_selection_logic%22%3A3%7D,32k đ,0%,4.9,100,Hoạt động
17,"[Tặng Kèm 31 Phụ Kiện] Máy Mài Điện Mini Deli 5 Chức Năng Mài, Đánh Bóng, Khắc, Khoan, Cắt Tiện Lợi",N/A,https://shopee.vn/-Tặng-Kèm-31-Phụ-Kiện-Máy-Mài-Điện-Mini-Deli-5-Chức-Năng-Mài-Đánh-Bóng-Khắc-Khoan-Cắt-Tiện-Lợi-i.1021391020.42514095789?extraParams=%7B%22display_model_id%22%3A238019718083%2C%22model_selection_logic%22%3A3%7D,418k đ,0%,5,31,Hoạt động
18,Ổ Cắm Điện Đa Năng DELI Cổng Type C USB Sạc Nhanh PD 20W 2-12 Ổ Vuông Dẹt Chịu Tải 3250W Cầu Chì Tự Ngắt Khi Quá Tải,N/A,https://shopee.vn/Ổ-Cắm-Điện-Đa-Năng-DELI-Cổng-Type-C-USB-Sạc-Nhanh-PD-20W-2-12-Ổ-Vuông-Dẹt-Chịu-Tải-3250W-Cầu-Chì-Tự-Ngắt-Khi-Quá-Tải-i.1021391020.25826815079?extraParams=%7B%22display_model_id%22%3A246412109182%2C%22model_selection_logic%22%3A3%7D,199k đ,0%,5,20,Hoạt động
19,"Súng bắn ghim Kìm bắn đinh ghim DELI cầm tay mẫu mới trợ lực, tiện dụng, Kìm Bấm ghim đa năng",N/A,https://shopee.vn/Súng-bắn-ghim-Kìm-bắn-đinh-ghim-DELI-cầm-tay-mẫu-mới-trợ-lực-tiện-dụng-Kìm-Bấm-ghim-đa-năng-i.1021391020.26606387849?extraParams=%7B%22display_model_id%22%3A271827411917%2C%22model_selection_logic%22%3A3%7D,51k đ,0%,4.9,51,Hoạt động
20,Súng Bắn Keo Nến 20W Chính Hãng DELI - An Toàn Cho Trẻ Em,N/A,https://shopee.vn/Súng-Bắn-Keo-Nến-20W-Chính-Hãng-DELI-An-Toàn-Cho-Trẻ-Em-i.1021391020.19490927875?extraParams=%7B%22display_model_id%22%3A196083686516%2C%22model_selection_logic%22%3A3%7D,156k đ,0%,5,20,Hoạt động
21,"Bình Xịt Tưới Cây 10L Deli Chính Hãng - Bình Phun Thuốc Sâu, Phun Sương, Xịt rửa xe, Thuốc muỗi",N/A,https://shopee.vn/Bình-Xịt-Tưới-Cây-10L-Deli-Chính-Hãng-Bình-Phun-Thuốc-Sâu-Phun-Sương-Xịt-rửa-xe-Thuốc-muỗi-i.1021391020.29675814934?extraParams=%7B%22display_model_id%22%3A223790076688%2C%22model_selection_logic%22%3A3%7D,205k đ,0%,4.8,10,Hoạt động
22,Kìm Mũi Nhọn 6-8 Inch Chính Hãng DELI - Chất Liệu Thép Cao Cấp Siêu Bền - Tay Cầm Chống Trượt,N/A,https://shopee.vn/Kìm-Mũi-Nhọn-6-8-Inch-Chính-Hãng-DELI-Chất-Liệu-Thép-Cao-Cấp-Siêu-Bền-Tay-Cầm-Chống-Trượt-i.1021391020.23579295769?extraParams=%7B%22display_model_id%22%3A149318931266%2C%22model_selection_logic%22%3A3%7D,99k đ,0%,5,6,Hoạt động
23,Kéo Cắt Tỉa Cành Cây Chính Hãng DELI - Lưỡi Siêu Sắc Cho Vết Cắt Ngọt - Chuyên Tỉa Cây Cảnh Bonsai,N/A,https://shopee.vn/Kéo-Cắt-Tỉa-Cành-Cây-Chính-Hãng-DELI-Lưỡi-Siêu-Sắc-Cho-Vết-Cắt-Ngọt-Chuyên-Tỉa-Cây-Cảnh-Bonsai-i.1021391020.24376820488?extraParams=%7B%22display_model_id%22%3A395710492290%2C%22model_selection_logic%22%3A3%7D,124k đ,0%,4.9,124,Hoạt động
24,"Kìm Bấm Dây Điện Đa Năng Deli - Kết hợp uốn, cắt, bấm, tách dây - Chất liệuThép Cao Cấp, Điều Chỉnh Lực Tuốt Dây Dễ Dàng",N/A,https://shopee.vn/Kìm-Bấm-Dây-Điện-Đa-Năng-Deli-Kết-hợp-uốn-cắt-bấm-tách-dây-Chất-liệuThép-Cao-Cấp-Điều-Chỉnh-Lực-Tuốt-Dây-Dễ-Dàng-i.1021391020.25791289169?extraParams=%7B%22display_model_id%22%3A292495023371%2C%22model_selection_logic%22%3A3%7D,135k đ,0%,4.9,135,Hoạt động
25,Kìm Đa Năng Chính Hãng DELI - Đầu Thép Cacbon Siêu Bền - Kích Thước 6-8inch,N/A,https://shopee.vn/Kìm-Đa-Năng-Chính-Hãng-DELI-Đầu-Thép-Cacbon-Siêu-Bền-Kích-Thước-6-8inch-i.1021391020.17298756593?extraParams=%7B%22display_model_id%22%3A207009289553%2C%22model_selection_logic%22%3A3%7D,110k đ,0%,4.9,6,Hoạt động
26,Kìm Cắt Dây Điện Mini Chính Hãng DELI - Lưỡi Cắt Sắc Bén Chống Mòn,N/A,https://shopee.vn/Kìm-Cắt-Dây-Điện-Mini-Chính-Hãng-DELI-Lưỡi-Cắt-Sắc-Bén-Chống-Mòn-i.1021391020.26700273482?extraParams=%7B%22display_model_id%22%3A380710706755%2C%22model_selection_logic%22%3A3%7D,119k đ,0%,5,119,Hoạt động
27,Bộ Tua Vít Đa Năng 33 Chi Tiết Tiện Lợi Chính Hãng DELI - Sửa Chữa Tiện Điện Thoại Máy Tính Và Đồ Điện Tử,N/A,https://shopee.vn/Bộ-Tua-Vít-Đa-Năng-33-Chi-Tiết-Tiện-Lợi-Chính-Hãng-DELI-Sửa-Chữa-Tiện-Điện-Thoại-Máy-Tính-Và-Đồ-Điện-Tử-i.1021391020.23647285009?extraParams=%7B%22display_model_id%22%3A228188956973%2C%22model_selection_logic%22%3A3%7D,100k đ,0%,4.9,33,Hoạt động
28,"Búa Lùn Thép Nguyên Khối Chính Hãng DELI - Đóng Đinh, Nhổ Đinh Dễ Dàng, Tiện Dụng - Nhỏ Gọn, Tay Cầm Bọc Cao Su",N/A,https://shopee.vn/Búa-Lùn-Thép-Nguyên-Khối-Chính-Hãng-DELI-Đóng-Đinh-Nhổ-Đinh-Dễ-Dàng-Tiện-Dụng-Nhỏ-Gọn-Tay-Cầm-Bọc-Cao-Su-i.1021391020.20790926672?extraParams=%7B%22display_model_id%22%3A158289192821%2C%22model_selection_logic%22%3A3%7D,88k đ,0%,5,88,Hoạt động
29,"Kìm Bấm Lỗ Trợ Lực Chính Hãng DELI - Bấm Đồ Da, Dây Da, Thắt Lưng - Kích Thước Lỗ Bấm Đa Dạng",N/A,https://shopee.vn/Kìm-Bấm-Lỗ-Trợ-Lực-Chính-Hãng-DELI-Bấm-Đồ-Da-Dây-Da-Thắt-Lưng-Kích-Thước-Lỗ-Bấm-Đa-Dạng-i.1021391020.21790926085?extraParams=%7B%22display_model_id%22%3A400710677261%2C%22model_selection_logic%22%3A3%7D,109k đ,0%,4.9,109,Hoạt động
30,Bộ dao rọc giấy Deli Cao Cấp Chính hãng - Thiết kế nhỏ gọn tinh giản - Nhiều mục đích sử dụng,N/A,https://shopee.vn/Bộ-dao-rọc-giấy-Deli-Cao-Cấp-Chính-hãng-Thiết-kế-nhỏ-gọn-tinh-giản-Nhiều-mục-đích-sử-dụng-i.1021391020.27075809551?extraParams=%7B%22display_model_id%22%3A109396546325%2C%22model_selection_logic%22%3A3%7D,40k đ,0%,5,40,Hoạt động
